City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pundong,-7.9522,110.3486,301.92,77,83,2.86,ID,1712542205
1,bilibino,68.0546,166.4372,260.76,80,82,1.43,RU,1712542107
2,blackmans bay,-43.0167,147.3167,290.22,55,93,1.34,AU,1712542124
3,yellowknife,62.456,-114.3525,278.44,65,75,5.66,CA,1712541993
4,bandundu,-3.3167,17.3667,295.87,98,99,0.46,CD,1712542206
5,okhotsk,59.3833,143.3,271.68,94,100,5.89,RU,1712542041
6,port-aux-francais,-49.35,70.2167,278.65,58,84,6.55,TF,1712542071
7,kodiak,57.79,-152.4072,276.88,87,100,2.06,US,1712542206
8,morehead city,34.7229,-76.726,287.15,75,0,2.24,US,1712542177
9,undurkhaan,47.3194,110.6556,279.17,52,10,0.77,MN,1712542207
10,ribeira grande,38.5167,-28.7,288.02,89,92,1.79,PT,1712542207
11,touros,-5.1989,-35.4608,298.86,91,42,3.83,BR,1712541886
12,amga,60.8953,131.9608,267.89,85,100,2.77,RU,1712542208
13,invercargill,-46.4,168.35,290.38,75,100,3.58,NZ,1712542208
14,puerto natales,-51.7236,-72.4875,276.83,71,100,5.03,CL,1712542208
15,ilulissat,69.2167,-51.1,263.16,92,100,0.0,GL,1712542208
16,tofol,5.3248,163.0078,303.03,79,100,5.14,FM,1712542208
17,mugia,43.1041,-9.2179,285.88,95,100,14.54,ES,1712542127
18,ushuaia,-54.8,-68.3,274.96,93,100,2.06,AR,1712541936
19,adamstown,-25.066,-130.1015,297.07,86,83,4.56,PN,1712542209
20,uliastay,47.7417,96.8444,277.02,54,92,0.98,MN,1712542209
21,rongelap,11.1635,166.8941,300.42,81,100,9.06,MH,1712542153
22,fuglafjordur,62.244,-6.814,281.41,95,100,7.87,FO,1712542209
23,grytviken,-54.2811,-36.5092,274.85,76,4,3.45,GS,1712542072
24,belyy yar,53.6039,91.3903,273.09,55,40,5.0,RU,1712542210
25,olonkinbyen,70.9221,-8.7187,269.14,65,100,8.62,SJ,1712542210
26,bethel,41.3712,-73.414,279.68,62,0,2.06,US,1712542208
27,pacific grove,36.6177,-121.9166,288.12,76,75,7.15,US,1712541992
28,hamilton,39.1834,-84.5333,289.84,37,40,6.17,US,1712541915
29,borba,-4.3878,-59.5939,296.89,98,100,0.67,BR,1712542211
30,saint-philippe,-21.3585,55.7679,296.92,86,56,1.89,RE,1712542140
31,peniche,39.3558,-9.3811,288.46,93,72,9.45,PT,1712542211
32,moratuwa,6.773,79.8816,299.16,83,99,2.6,LK,1712542211
33,carnarvon,-24.8667,113.6333,301.83,38,5,3.81,AU,1712541971
34,yilan,24.757,121.753,298.18,70,26,1.23,TW,1712542211
35,belur,13.1667,75.8667,296.96,68,12,0.92,IN,1712542212
36,port elizabeth,-33.918,25.5701,292.09,92,100,1.79,ZA,1712542212
37,hilo,19.7297,-155.09,297.19,93,75,3.09,US,1712542069
38,waitangi,-43.9535,-176.5597,286.94,81,100,1.79,NZ,1712542083
39,puerto san jose,13.9256,-90.8244,302.33,72,88,3.85,GT,1712542089
40,harstad,68.799,16.5293,274.15,96,100,4.02,NO,1712542014
41,st. john's,47.5649,-52.7093,274.8,94,100,9.77,CA,1712542199
42,piton saint-leu,-21.2196,55.3151,295.21,73,0,3.09,RE,1712542213
43,edinburgh of the seven seas,-37.0676,-12.3116,291.59,95,100,7.26,SH,1712542081
44,shakawe,-18.3667,21.85,292.8,88,90,2.02,BW,1712542213
45,avarua,-21.2078,-159.775,300.18,89,40,2.57,CK,1712542213
46,fale old settlement,-9.3852,-171.2468,303.01,70,6,2.39,TK,1712542213
47,grand gaube,-20.0064,57.6608,298.36,90,8,2.64,MU,1712541885
48,margate,51.3813,1.3862,282.98,86,38,1.79,GB,1712542214
49,alice springs,-23.7,133.8833,298.9,22,4,4.12,AU,1712542214
50,polyarnyy,69.1989,33.4478,266.94,87,100,6.29,RU,1712541883
51,umm kaddadah,13.6017,26.6876,295.96,16,8,5.98,SD,1712542214
52,suva,-18.1416,178.4415,302.86,74,75,4.63,FJ,1712542023
53,moose jaw,50.4001,-105.5344,284.48,48,100,3.2,CA,1712542214
54,queenstown,-31.8976,26.8753,286.42,98,100,1.71,ZA,1712542215
55,caleta de carquin,-11.0925,-77.6267,295.42,83,100,3.64,PE,1712542212
56,ararat,39.8317,44.7049,284.34,65,100,3.64,AM,1712542215
57,seguela,7.9611,-6.6731,295.91,94,100,3.55,CI,1712542215
58,iqaluit,63.7506,-68.5145,254.83,93,15,4.02,CA,1712542076
59,nanakuli,21.3906,-158.1547,300.12,52,20,6.17,US,1712542215
60,alwar,27.5667,76.6,300.05,11,0,0.68,IN,1712542216
61,arraial do cabo,-22.9661,-42.0278,297.79,84,3,4.76,BR,1712542012
62,mossel bay,-34.1831,22.146,289.11,94,100,4.82,ZA,1712542214
63,leh,34.1667,77.5833,261.06,70,20,1.61,IN,1712542027
64,port alfred,-33.5906,26.891,291.03,89,100,1.34,ZA,1712541977
65,longyearbyen,78.2186,15.6401,255.06,78,40,2.06,SJ,1712542066
66,nurota,40.5614,65.6886,288.28,44,33,1.71,UZ,1712542217
67,uturoa,-16.7333,-151.4333,302.55,74,100,4.75,PF,1712541742
68,east london,-33.0153,27.9116,292.78,81,100,7.37,ZA,1712541886
69,cabo san lucas,22.8909,-109.9124,295.24,63,1,0.89,MX,1712541784
70,qaqortoq,60.7167,-46.0333,267.62,94,100,1.69,GL,1712542217
71,san lawrenz,36.0553,14.204,286.82,72,0,2.0,MT,1712542217
72,anadyr,64.75,177.4833,259.43,84,40,6.0,RU,1712542218
73,kavalerovo,44.2661,135.0572,282.9,62,77,5.81,RU,1712542218
74,bredasdorp,-34.5322,20.0403,291.2,95,100,10.11,ZA,1712542082
